nb crit
1 0.26131203264936648
2 0.36057490160097283
3 0.48538552287713949
4 0.55490923177708784
5 0.58257576675951595
6 0.60935606859283564
7 0.61951727155405689
8 0.62463223016520553
9 0.62908420332333992
10 0.63244889729349985
11 0.63442012878006537
12 0.63632224483257027
13 0.63811757079112452
14 0.63964469412185809
15 0.64069532477275459
16 0.6415259059810301
17 0.64236831064032462
18 0.64349496879477752
19 0.6438972611110072
20 0.64527827640944901
21 0.64726232501911851
22 0.6479219130648548
23 0.65202549455063874
24 0.65427146730850239
25 0.6567287438330911
26 0.65821416171103309
27 0.66014398495222693
28 0.66105935577214336
29 0.66127672738154541
30 0.66246680552582959
31 0.66268025196368474
32 0.66268025196368474
33 0.66268025196368474
34 0.66268025196368474
35 0.66268025196368474
36 0.66268025196368474
37 0.66268025196368474
38 0.66268025196368474
39 0.66268025196368474
40 0.66198958178944145
41 0.57452304616563699
42 0.60069694714117872
43 0.6144118595927287
44 0.6050097448260503
45 0.61721335768650976
46 0.60994539791933322
47 0.6192988294109083
48 0.59898887323757377
49 0.60963342688072486
50 0.58725895287057228
51 0.60808653496708398
52 0.61866050256168614
53 0.60371296076015213
54 0.62154974274575758
55 0.6272542893648666
56 0.60704683612522747
57 0.61430156933795632
58 0.62243667531071645
59 0.61547400282295428
60 0.62616770542235711
