nb crit
1 0.24826568765938523
2 0.36541164712435037
3 0.4843266537716433
4 0.54765728699514016
5 0.57619061426612395
6 0.59835474259873744
7 0.60760238881563144
8 0.61806658866024955
9 0.62256272820091074
10 0.62710790741753819
11 0.63018105788278578
12 0.63056285407842394
13 0.63322446361784113
14 0.63711107678965173
15 0.64001036998542327
16 0.64434561012512515
17 0.64434561012512515
18 0.64434561012512515
19 0.64434561012512515
20 0.64434561012512515
21 0.64434561012512515
22 0.64434561012512515
23 0.64434561012512515
24 0.64434561012512515
25 0.64375602829431577
26 0.54496347749486507
27 0.5446724296213884
28 0.54782035572879695
29 0.59518485603453697
30 0.57934773440008769
31 0.57363865390183322
32 0.5892640679108323
33 0.59851672364742636
34 0.59577535768530698
35 0.61736716081196641
36 0.62688333212840575
37 0.60912188317183702
38 0.61525923039266139
39 0.63352526345911397
40 0.63558123727293081
41 0.63930747092433982
42 0.63291690897964914
43 0.64421789653053008
44 0.65102725738581235
45 0.64590210977159701
46 0.65305514458079994
47 0.65447265358141027
48 0.6530518749728117
49 0.64757459271966744
50 0.63977503208832232
51 0.64323034916691646
52 0.64693872605826619
53 0.65077460000622223
54 0.64790034392266982
55 0.64646436030416243
56 0.64542326362518909
57 0.64012051705316886
58 0.6417937264024729
59 0.64790554512456067
60 0.65014103071863527
